"ID","ID"
"Total","Total"
"Customer","Customer"
"Point Balance","Point Balance"
"Held-back Balance","Held-back Balance"
"Earned Points","Earned Points"
"Spent Points","Spent Points"
"Discount for Using Points","Discount for Using Points"
"Total Of Orders Using Points","Total Of Orders Using Points"
"CSV","CSV"
"XML","XML"
"Excel XML","Excel XML"
"Average value of 1 point spent","Average value of 1 point spent"
"Your cost for a loyal Customer","Your cost for a loyal Customer"
"This is the average cost of a loyal Customer. A loyal Customer is the one who has spent points on your store.","This is the average cost of a loyal Customer. A loyal Customer is the one who has spent points on your store."
"Sign-up","Sign-up"
"Newsletter","Newsletter"
"Birthday","Birthday"
"Review","Review"
"Product Tag","Product Tag"
"Facebook Like","Facebook Like"
"Tweet","Tweet"
"Admin","Admin"
"Order","Order"
"Others","Others"
"This graph shows sources that Customers earn points.","This graph shows sources that Customers earn points."
"Spent","Spent"
"Not spent","Not spent"
"This graph tells you how many points are spent for every 100 points rewarded.","This graph tells you how many points are spent for every 100 points rewarded."
"Avg. Points Per Order","Avg. Points Per Order"
"Loyal Customers","Loyal Customers"
"Points Earned and Spent","Points Earned and Spent"
"Avg. order value vs avg number of points earned from orders","Avg. order value vs avg number of points earned from orders"
"Sign-ups","Sign-ups"
"Newsletter Subscription","Newsletter Subscription"
"Product Review","Product Review"
"Earned","Earned"
"This report shows the number of points your Customers earned and spent.","This report shows the number of points your Customers earned and spent."
"Points","Points"
"Subscriptions","Subscriptions"
"This graph shows the number of loyal Customers in your store over time.","This graph shows the number of loyal Customers in your store over time."
"Reviews","Reviews"
"Signups","Signups"
"Time","Time"
"Total Earned Points","Total Earned Points"
"Purchase Order","Purchase Order"
"Number of Orders","Number of Orders"
"Total Spent Points","Total Spent Points"
"SKU","SKU"
"Product Name","Product Name"
"Price","Price"
"Qty","Qty"
"Enabled","Enabled"
"Disabled","Disabled"
"Reward Points","Reward Points"
"Report","Report"
"Customers","Customers"
"Customer Report","Customer Report"
"Reward System Report","Reward System Report"
"Point Earning Report","Point Earning Report"
"Orders","Orders"
"Order Report","Order Report"
"Products","Products"
"Product Report","Product Report"
"Point Spending Report","Point Spending Report"
"Reports","Reports"
"Dashboard","Dashboard"
"Report Plugin Configuration","Report Plugin Configuration"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select the day of the month to be used as the starting point for reports.","Select the day of the month to be used as the starting point for reports."
"No Data Found","No Data Found"
"Select Range","Select Range"
"Spending/Earning Ratio","Spending/Earning Ratio"
"Earning Distribution","Earning Distribution"
"From","From"
"Select Date","Select Date"
"To","To"
"Show Report","Show Report"
"Show By","Show By"
"Day","Day"
"Month","Month"
"Year","Year"
