"Title","Title"
"Identifier","Identifier"
"Store View","Store View"
"Status","Status"
"Disabled","Disabled"
"Enabled","Enabled"
"Date Created","Date Created"
"Last Modified","Last Modified"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Copy to Store View","Copy to Store View"
"Suffix","Suffix"
"URL Key","URL Key"
"Layout","Layout"
"Action","Action"
"Change Layout","Change Layout"
"Page Layout","Page Layout"
"Please select block(s).","Please select block(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"No blocks Deleted","No blocks Deleted"
"Total of %d record(s) have their status updated.","Total of %d record(s) have their status updated."
"No blocks with status updated","No blocks with status updated"
"Total of %d record(s) have been copied.","Total of %d record(s) have been copied."
"No blocks copied","No blocks copied"
"Please select page(s).","Please select page(s)."
"No Pages Deleted","No Pages Deleted"
"No pages with status updated","No pages with status updated"
"Total of %d record(s) have their layout updated.","Total of %d record(s) have their layout updated."
"No pages with layout updates","No pages with layout updates"
"No pages copied","No pages copied"
